# Experiment 5: Address Bit Mapping
# bit  toggled_addr  median  mean  stddev  classification
6  64  833  847.375  23.9658  COLUMN (same row)
7  128  833  843.625  20.8353  COLUMN (same row)
8  256  833  843.25  20.2222  COLUMN (same row)
9  512  833  843.75  21.0817  COLUMN (same row)
10  1024  833  841  16.9115  COLUMN (same row)
11  2048  833  842.172  20.125  COLUMN (same row)
12  4096  833  843.25  21.6087  COLUMN (same row)
13  8192  873  875.5  20.7304  ROW (diff row)
14  16384  873  870.125  11.0786  ROW (diff row)
15  32768  873  870.125  11.4339  ROW (diff row)
16  65536  873  870.625  15.2761  ROW (diff row)
17  131072  897  897.5  5.63471  ROW (diff row)
18  262144  897  898.125  7.98338  ROW (diff row)
19  524288  897  897  6  ROW (diff row)
20  1048576  897  896.375  4.96078  ROW (diff row)
21  2097152  897  898.5  7.46659  ROW (diff row)
22  4194304  897  896.25  7.57875  ROW (diff row)
23  8388608  897  897.625  6.21364  ROW (diff row)
24  16777216  897  898.25  19.4535  ROW (diff row)
25  33554432  897  898.875  8.5723  ROW (diff row)
