addr_a,addr_b,median,mean,stddev
0,0,833,842.5,20.2423
0,1024,833,843.5,20.9225
0,2048,833,843.75,21.4112
0,3072,833,844,21.9773
0,4096,833,842.75,21.2353
0,5120,833,839.5,16.6658
0,6144,833,844.25,21.7126
0,7168,833,852,26.0576
0,8192,873,870,11.7898
0,9216,873,871.75,9.40412
0,10240,873,872.75,7.61167
0,11264,873,874.25,12.9783
0,12288,873,875,14.1421
0,13312,873,870.75,10.8138
0,14336,873,872,9.94987
0,15360,873,872.25,9.02427
1024,0,833,842.25,20.5046
1024,1024,833,844.5,22.5333
1024,2048,833,848,23.7276
1024,3072,833,844.5,21.2544
1024,4096,833,842.25,20.3086
1024,5120,833,843.5,21.3951
1024,6144,833,845,22.8035
1024,7168,833,854,78.7591
1024,8192,873,870,10.7238
1024,9216,873,870.5,11.3908
1024,10240,873,872,9.74679
1024,11264,873,874.25,23.4187
1024,12288,873,869,12.9615
1024,13312,873,868.75,11.6592
1024,14336,873,869.75,10.3652
1024,15360,873,873.75,7.83821
2048,0,833,842.5,22.5776
2048,1024,833,846.5,23.103
2048,2048,833,843,20.199
2048,3072,833,842.75,19.1556
2048,4096,833,844,22.1585
2048,5120,833,842.75,21.2353
2048,6144,833,839.5,16.6658
2048,7168,833,845.5,23.1463
2048,8192,873,874,7.93725
2048,9216,873,871.75,11.333
2048,10240,873,873.75,10.6507
2048,11264,873,872,9.32738
2048,12288,873,877.75,22.1684
2048,13312,873,867.75,13.3581
2048,14336,873,871.75,9.40412
2048,15360,873,872.5,7.19375
3072,0,833,845.75,31.1679
3072,1024,833,841.5,28.1381
3072,2048,833,838.75,16.2769
3072,3072,833,841,18.9737
3072,4096,833,846,23.8956
3072,5120,833,840.75,18.7066
3072,6144,833,842,19.8746
3072,7168,833,842.75,21.7011
3072,8192,873,872.25,8.33292
3072,9216,873,872.75,10.0964
3072,10240,873,869.75,12.306
3072,11264,873,874.25,10.9744
3072,12288,873,870.25,11.0651
3072,13312,873,873.5,9.1515
3072,14336,873,872.25,9.66631
3072,15360,873,874,17.9722
4096,0,833,837,10.7703
4096,1024,833,849.75,24.2783
4096,2048,833,840.75,18.5994
4096,3072,833,840.5,18.8613
4096,4096,833,844,29.3769
4096,5120,833,842.25,19.0902
4096,6144,833,842.25,20.7951
4096,7168,833,846.25,23.6313
4096,8192,873,872.25,8.08934
4096,9216,873,869.75,11.2888
4096,10240,873,871.25,9.94673
4096,11264,873,874,5.91608
4096,12288,873,871.75,9.40412
4096,13312,873,871.75,12.0182
4096,14336,873,872.75,5.09289
4096,15360,873,871.5,9.47365
5120,0,833,841.5,19.9937
5120,1024,833,844,21.7945
5120,2048,833,843.25,20.2222
5120,3072,833,841.25,18.4916
5120,4096,833,848.75,24.7778
5120,5120,833,845.5,22.6219
5120,6144,833,846.25,23.4614
5120,7168,833,844.5,21.5349
5120,8192,873,871.25,10.3411
5120,9216,873,874.75,9.53612
5120,10240,873,867.75,13.3581
5120,11264,873,871.5,9.04157
5120,12288,873,868,13.5277
5120,13312,873,869.75,11.6378
5120,14336,873,870.25,11.4209
5120,15360,873,870.25,11.5947
6144,0,833,841.75,21.1999
6144,1024,833,840.25,16.0449
6144,2048,833,840.5,18.8613
6144,3072,833,837.5,12.48
6144,4096,833,841.5,18.6481
6144,5120,833,840,18.735
6144,6144,833,840.5,16.7257
6144,7168,833,846,23.3024
6144,8192,873,870,12.2882
6144,9216,873,872.75,10.0964
6144,10240,873,874,8.18535
6144,11264,873,872.25,12.387
