# Experiment 1: Row Size Boundary Detection
# Burst=16 pipelined reads, stride sweep
# stride_bytes  median_cycles  mean_cycles  stddev  min  max  cycles_per_read
64  769  769  0  769  769  48.0625
320  769  769.75  3.07205  761  777  48.0625
576  785  785.031  0.173993  785  786  49.0625
832  801  801  0  801  801  50.0625
1088  817  809.25  16.791  769  825  51.0625
1344  801  801  0  801  801  50.0625
1600  761  770.25  23.3332  761  849  47.5625
1856  761  764.031  7.13041  761  793  47.5625
2112  785  785  0  785  785  49.0625
2368  769  769  0  769  769  48.0625
2624  809  807.5  5.80948  801  833  50.5625
2880  793  804.25  30.4539  785  873  49.5625
3136  769  769  0  769  769  48.0625
3392  785  785.031  0.173993  785  786  49.0625
3648  761  762  5.56776  761  793  47.5625
3904  785  785.5  1.93649  785  793  49.0625
4160  761  765.281  16.6043  761  849  47.5625
4416  785  807.5  24.774  785  865  49.0625
4672  785  807  23.7487  785  849  49.0625
4928  825  807.531  22.6357  785  833  51.5625
5184  785  803.25  21.9303  785  833  49.0625
5440  761  766.25  16.9245  761  849  47.5625
5696  785  799.281  29.3612  785  897  49.0625
5952  761  769.25  27.8197  761  913  47.5625
6208  785  787  7.48331  785  825  49.0625
6464  761  766.5  17.1391  761  849  47.5625
6720  785  792.25  22.835  785  897  49.0625
6976  785  800.5  33.3429  785  897  49.0625
7232  785  791.5  21.7658  785  897  49.0625
7488  785  787  7.48331  785  825  49.0625
7744  785  789.75  15.7301  785  865  49.0625
8000  785  785.5  1.93649  785  793  49.0625
8256  785  802.75  22.1571  785  833  49.0625
8512  785  801  18.3303  785  825  49.0625
8768  785  801.281  21.1885  785  833  49.0625
9024  785  785  0  785  785  49.0625
9280  785  785.031  0.173993  785  786  49.0625
9536  785  787  6.63325  785  817  49.0625
9792  785  785  0  785  785  49.0625
10048  785  804  21.7945  785  833  49.0625
10304  785  793.5  17.9931  785  841  49.0625
10560  785  805  36.0555  785  873  49.0625
10816  785  785  0  785  785  49.0625
11072  785  785  0  785  785  49.0625
11328  785  785.75  4.17582  785  809  49.0625
11584  785  792.531  41.753  785  1025  49.0625
11840  785  785  0  785  785  49.0625
12096  785  787.75  9.07951  785  833  49.0625
12352  785  788.5  11.6512  785  833  49.0625
12608  785  791.5  16.7854  785  849  49.0625
12864  785  803.5  22.4889  785  833  49.0625
13120  785  816.75  99.9096  785  1361  49.0625
13376  785  791.5  19.3326  785  865  49.0625
13632  785  805.75  22.5264  785  833  49.0625
13888  785  794.781  36.7472  785  937  49.0625
14144  785  805.75  22.3481  785  833  49.0625
14400  785  799.25  25.5135  785  865  49.0625
14656  785  804.5  40.4938  785  937  49.0625
14912  785  791  15.2315  785  833  49.0625
15168  785  785.031  0.173993  785  786  49.0625
15424  785  785  0  785  785  49.0625
15680  785  785.5  1.93649  785  793  49.0625
15936  785  785  0  785  785  49.0625
16192  785  788  9.11043  785  825  49.0625
16448  785  801.25  18.7066  785  833  49.0625
16704  785  801.75  18.3695  785  825  49.0625
