delay_iters,activations,elapsed_us,act_rate_M_per_s,num_flips,total_bit_flips
0,1000000,35000.6,28.5709,0,0
8,1000000,70000.5,14.2856,0,0
16,1000000,100625,9.93784,0,0
24,1000000,130625,7.65548,0,0
32,1000000,160625,6.22567,0,0
40,1000000,190625,5.24589,0,0
48,1000000,220625,4.53257,0,0
56,1000000,250625,3.99002,0,0
64,1000000,280625,3.56347,0,0
72,1000000,310625,3.21932,0,0
80,1000000,340625,2.93578,0,0
88,1000000,370625,2.69814,0,0
96,1000000,400625,2.4961,0,0
104,1000000,430625,2.32221,0,0
112,1000000,460625,2.17096,0,0
120,1000000,490625,2.03822,0,0
128,1000000,520625,1.92077,0,0
136,1000000,550625,1.81612,0,0
144,1000000,580625,1.72228,0,0
152,1000000,610625,1.63767,0,0
160,1000000,640625,1.56098,0,0
168,1000000,670625,1.49115,0,0
176,1000000,700625,1.4273,0,0
184,1000000,730625,1.36869,0,0
192,1000000,760625,1.31471,0,0
200,1000000,790625,1.26482,0,0
208,1000000,820625,1.21858,0,0
216,1000000,850625,1.17561,0,0
224,1000000,880625,1.13556,0,0
232,1000000,910625,1.09815,0,0
240,1000000,940625,1.06312,0,0
248,1000000,970625,1.03026,0,0
256,1000000,1.00063e+06,0.999375,0,0
