k,offset_bytes,row,cycles,tier
1,8396800,1025,451,SAME_ROW
2,8404992,1026,451,SAME_ROW
3,8413184,1027,451,SAME_ROW
4,8421376,1028,451,SAME_ROW
5,8429568,1029,451,SAME_ROW
6,8437760,1030,451,SAME_ROW
7,8445952,1031,451,SAME_ROW
8,8454144,1032,451,SAME_ROW
9,8462336,1033,451,SAME_ROW
10,8470528,1034,451,SAME_ROW
11,8478720,1035,451,SAME_ROW
12,8486912,1036,451,SAME_ROW
13,8495104,1037,451,SAME_ROW
14,8503296,1038,451,SAME_ROW
15,8511488,1039,451,SAME_ROW
16,8519680,1040,451,SAME_ROW
17,8527872,1041,451,SAME_ROW
18,8536064,1042,451,SAME_ROW
19,8544256,1043,451,SAME_ROW
20,8552448,1044,451,SAME_ROW
21,8560640,1045,451,SAME_ROW
22,8568832,1046,451,SAME_ROW
23,8577024,1047,451,SAME_ROW
24,8585216,1048,451,SAME_ROW
25,8593408,1049,451,SAME_ROW
26,8601600,1050,451,SAME_ROW
27,8609792,1051,451,SAME_ROW
28,8617984,1052,451,SAME_ROW
29,8626176,1053,451,SAME_ROW
30,8634368,1054,451,SAME_ROW
31,8642560,1055,451,SAME_ROW
32,8650752,1056,451,SAME_ROW
33,8658944,1057,451,SAME_ROW
34,8667136,1058,451,SAME_ROW
35,8675328,1059,451,SAME_ROW
36,8683520,1060,451,SAME_ROW
37,8691712,1061,451,SAME_ROW
38,8699904,1062,451,SAME_ROW
39,8708096,1063,451,SAME_ROW
40,8716288,1064,451,SAME_ROW
41,8724480,1065,451,SAME_ROW
42,8732672,1066,451,SAME_ROW
43,8740864,1067,451,SAME_ROW
44,8749056,1068,451,SAME_ROW
45,8757248,1069,451,SAME_ROW
46,8765440,1070,451,SAME_ROW
47,8773632,1071,451,SAME_ROW
48,8781824,1072,451,SAME_ROW
49,8790016,1073,451,SAME_ROW
50,8798208,1074,451,SAME_ROW
51,8806400,1075,451,SAME_ROW
52,8814592,1076,451,SAME_ROW
53,8822784,1077,451,SAME_ROW
54,8830976,1078,451,SAME_ROW
55,8839168,1079,451,SAME_ROW
56,8847360,1080,451,SAME_ROW
57,8855552,1081,451,SAME_ROW
58,8863744,1082,451,SAME_ROW
59,8871936,1083,451,SAME_ROW
60,8880128,1084,451,SAME_ROW
61,8888320,1085,451,SAME_ROW
62,8896512,1086,451,SAME_ROW
63,8904704,1087,451,SAME_ROW
64,8912896,1088,451,SAME_ROW
65,8921088,1089,451,SAME_ROW
66,8929280,1090,451,SAME_ROW
67,8937472,1091,451,SAME_ROW
68,8945664,1092,451,SAME_ROW
69,8953856,1093,451,SAME_ROW
70,8962048,1094,451,SAME_ROW
71,8970240,1095,451,SAME_ROW
72,8978432,1096,451,SAME_ROW
73,8986624,1097,451,SAME_ROW
74,8994816,1098,451,SAME_ROW
75,9003008,1099,451,SAME_ROW
76,9011200,1100,451,SAME_ROW
77,9019392,1101,451,SAME_ROW
78,9027584,1102,451,SAME_ROW
79,9035776,1103,451,SAME_ROW
80,9043968,1104,451,SAME_ROW
81,9052160,1105,451,SAME_ROW
82,9060352,1106,451,SAME_ROW
83,9068544,1107,451,SAME_ROW
84,9076736,1108,451,SAME_ROW
85,9084928,1109,451,SAME_ROW
86,9093120,1110,451,SAME_ROW
87,9101312,1111,451,SAME_ROW
88,9109504,1112,451,SAME_ROW
89,9117696,1113,451,SAME_ROW
90,9125888,1114,451,SAME_ROW
91,9134080,1115,451,SAME_ROW
92,9142272,1116,451,SAME_ROW
93,9150464,1117,451,SAME_ROW
94,9158656,1118,451,SAME_ROW
95,9166848,1119,451,SAME_ROW
96,9175040,1120,451,SAME_ROW
97,9183232,1121,451,SAME_ROW
98,9191424,1122,451,SAME_ROW
99,9199616,1123,451,SAME_ROW
100,9207808,1124,451,SAME_ROW
101,9216000,1125,451,SAME_ROW
102,9224192,1126,451,SAME_ROW
103,9232384,1127,451,SAME_ROW
104,9240576,1128,451,SAME_ROW
105,9248768,1129,451,SAME_ROW
106,9256960,1130,451,SAME_ROW
107,9265152,1131,451,SAME_ROW
108,9273344,1132,451,SAME_ROW
109,9281536,1133,451,SAME_ROW
110,9289728,1134,451,SAME_ROW
111,9297920,1135,451,SAME_ROW
112,9306112,1136,451,SAME_ROW
113,9314304,1137,451,SAME_ROW
114,9322496,1138,451,SAME_ROW
115,9330688,1139,451,SAME_ROW
116,9338880,1140,451,SAME_ROW
117,9347072,1141,451,SAME_ROW
118,9355264,1142,451,SAME_ROW
119,9363456,1143,451,SAME_ROW
120,9371648,1144,451,SAME_ROW
121,9379840,1145,451,SAME_ROW
122,9388032,1146,451,SAME_ROW
123,9396224,1147,451,SAME_ROW
124,9404416,1148,451,SAME_ROW
125,9412608,1149,451,SAME_ROW
126,9420800,1150,451,SAME_ROW
127,9428992,1151,451,SAME_ROW
128,9437184,1152,451,SAME_ROW
129,9445376,1153,451,SAME_ROW
130,9453568,1154,451,SAME_ROW
131,9461760,1155,451,SAME_ROW
132,9469952,1156,451,SAME_ROW
133,9478144,1157,451,SAME_ROW
134,9486336,1158,451,SAME_ROW
135,9494528,1159,451,SAME_ROW
136,9502720,1160,451,SAME_ROW
137,9510912,1161,451,SAME_ROW
138,9519104,1162,451,SAME_ROW
139,9527296,1163,451,SAME_ROW
140,9535488,1164,451,SAME_ROW
141,9543680,1165,451,SAME_ROW
142,9551872,1166,451,SAME_ROW
143,9560064,1167,451,SAME_ROW
144,9568256,1168,451,SAME_ROW
145,9576448,1169,451,SAME_ROW
146,9584640,1170,451,SAME_ROW
147,9592832,1171,451,SAME_ROW
148,9601024,1172,451,SAME_ROW
149,9609216,1173,451,SAME_ROW
150,9617408,1174,451,SAME_ROW
151,9625600,1175,451,SAME_ROW
152,9633792,1176,451,SAME_ROW
153,9641984,1177,451,SAME_ROW
154,9650176,1178,451,SAME_ROW
155,9658368,1179,451,SAME_ROW
156,9666560,1180,451,SAME_ROW
157,9674752,1181,451,SAME_ROW
158,9682944,1182,451,SAME_ROW
159,9691136,1183,451,SAME_ROW
160,9699328,1184,451,SAME_ROW
161,9707520,1185,451,SAME_ROW
162,9715712,1186,451,SAME_ROW
163,9723904,1187,451,SAME_ROW
164,9732096,1188,451,SAME_ROW
165,9740288,1189,451,SAME_ROW
166,9748480,1190,451,SAME_ROW
167,9756672,1191,451,SAME_ROW
168,9764864,1192,451,SAME_ROW
169,9773056,1193,451,SAME_ROW
170,9781248,1194,451,SAME_ROW
171,9789440,1195,451,SAME_ROW
172,9797632,1196,451,SAME_ROW
173,9805824,1197,451,SAME_ROW
174,9814016,1198,451,SAME_ROW
175,9822208,1199,451,SAME_ROW
176,9830400,1200,451,SAME_ROW
177,9838592,1201,451,SAME_ROW
178,9846784,1202,451,SAME_ROW
179,9854976,1203,451,SAME_ROW
180,9863168,1204,451,SAME_ROW
181,9871360,1205,451,SAME_ROW
182,9879552,1206,451,SAME_ROW
183,9887744,1207,451,SAME_ROW
184,9895936,1208,451,SAME_ROW
185,9904128,1209,451,SAME_ROW
186,9912320,1210,451,SAME_ROW
187,9920512,1211,451,SAME_ROW
188,9928704,1212,451,SAME_ROW
189,9936896,1213,451,SAME_ROW
190,9945088,1214,451,SAME_ROW
191,9953280,1215,451,SAME_ROW
192,9961472,1216,451,SAME_ROW
193,9969664,1217,451,SAME_ROW
194,9977856,1218,451,SAME_ROW
195,9986048,1219,451,SAME_ROW
196,9994240,1220,451,SAME_ROW
197,10002432,1221,451,SAME_ROW
198,10010624,1222,451,SAME_ROW
199,10018816,1223,451,SAME_ROW
200,10027008,1224,451,SAME_ROW
201,10035200,1225,451,SAME_ROW
202,10043392,1226,451,SAME_ROW
203,10051584,1227,451,SAME_ROW
204,10059776,1228,451,SAME_ROW
205,10067968,1229,451,SAME_ROW
206,10076160,1230,451,SAME_ROW
207,10084352,1231,451,SAME_ROW
208,10092544,1232,451,SAME_ROW
209,10100736,1233,451,SAME_ROW
210,10108928,1234,451,SAME_ROW
211,10117120,1235,451,SAME_ROW
212,10125312,1236,451,SAME_ROW
213,10133504,1237,451,SAME_ROW
214,10141696,1238,451,SAME_ROW
215,10149888,1239,451,SAME_ROW
216,10158080,1240,451,SAME_ROW
217,10166272,1241,451,SAME_ROW
218,10174464,1242,451,SAME_ROW
219,10182656,1243,451,SAME_ROW
220,10190848,1244,451,SAME_ROW
221,10199040,1245,451,SAME_ROW
222,10207232,1246,451,SAME_ROW
223,10215424,1247,451,SAME_ROW
224,10223616,1248,451,SAME_ROW
225,10231808,1249,451,SAME_ROW
226,10240000,1250,451,SAME_ROW
227,10248192,1251,451,SAME_ROW
228,10256384,1252,451,SAME_ROW
229,10264576,1253,451,SAME_ROW
230,10272768,1254,451,SAME_ROW
231,10280960,1255,451,SAME_ROW
232,10289152,1256,451,SAME_ROW
233,10297344,1257,451,SAME_ROW
234,10305536,1258,451,SAME_ROW
235,10313728,1259,451,SAME_ROW
236,10321920,1260,451,SAME_ROW
237,10330112,1261,451,SAME_ROW
238,10338304,1262,451,SAME_ROW
239,10346496,1263,451,SAME_ROW
240,10354688,1264,451,SAME_ROW
241,10362880,1265,451,SAME_ROW
242,10371072,1266,451,SAME_ROW
243,10379264,1267,451,SAME_ROW
244,10387456,1268,451,SAME_ROW
245,10395648,1269,451,SAME_ROW
246,10403840,1270,451,SAME_ROW
247,10412032,1271,451,SAME_ROW
248,10420224,1272,451,SAME_ROW
249,10428416,1273,451,SAME_ROW
250,10436608,1274,451,SAME_ROW
251,10444800,1275,451,SAME_ROW
252,10452992,1276,451,SAME_ROW
253,10461184,1277,451,SAME_ROW
254,10469376,1278,451,SAME_ROW
255,10477568,1279,451,SAME_ROW
256,10485760,1280,451,SAME_ROW
